ID,Name,Title,Father_ID,Mother_ID,Spouse_ID,Brother_ID,Sister_ID,Son_ID,Daughter_ID,,,,,
167,Mary,Landgravine Consort of Hesse-Kassel,158,159,168,"162,166","163,169",None,None,,,,,
168,Frederick II,Landgravine of Hesse-Kassel,None,None,167,None,None,None,None,,,,,
169,Louise,Queen of Denmark and Norway,158,159,170,"162,166","163,167",None,None,,,,,
170,Frederick V,King of Denmark and Norway,None,None,169,None,None,None,None,,,,,
171,Caroline Matilda,Princess of Great Britain,162,165,173,"172,174,175,178",177,None,None,,,,,
172,Edward,Duke of York,162,165,None,"174,175,178","171,177",None,None,,,,,
173,Christian VII,King of Denmark,None,None,171,None,None,None,None,,,,,
174,Henry ,Duke of Cumberland,162,165,None,"172,175,178","171,177",None,None,,,,,
175,George III,King of Great Britain,162,165,179,"172,174,178","171,177","180,181,182,184,186,000,000",None,,,,,
176,Caroline of Brunswick,Princess of Great Britain,189,177,180,None,None,None,190,,,,,
177,Augusta ,Princess of Great Britain,162,165,189,"172,174,175,178",171,None,176,,,,,
178,William Henry,Duke of Gloucester,162,165,None,"172,174,175","171,177",None,None,,,,,
179,Charlotte of Mecklenburg,Queen Consort of Great Britain,None,None,175,None,None,"180,181,182,184,186,000,000",None,,,,,
180,George IV,King of Great Britain,175,179,176,"181,182,184,186,187,000",None,None,190,,,,,
181,Frederick,Duke of York,175,179,None,"180,182,184,186,187,000",None,None,None,,,,,
182,William IV,King of Great Britain,175,179,183,180,181,184,186,187,"188""",None,None,None
183,Adelaide of Saxe-Meiningen,Queen Consort of Great Britain,None,None,182,None,None,None,None,,,,,
184,Edward ,Duke of Kent,175,179,185,"180,181,182,186,187,000",None,None,191,,,,,
185,Victoria of Saxe-Coburg,Duchess of Kent,None,None,184,None,None,None,191,,,,,
186,Ernst ,Duke of Cumberland,175,179,None,"180,181,182,184,187,000",None,None,None,,,,,
187,Augustus,Duke of Sussex,175,179,None,"180,181,182,184,186,000",None,None,None,,,,,
188,Adolphus,Duke of Cambridge,175,179,None,"180,181,182,184,186,000",None,None,None,,,,,
189,Charles William,Duke of Brunswick,None,None,177,None,None,None,176,,,,,
190,Charlotte ,Princess of Great Britain,180,176,192,None,None,None,None,,,,,
191,Victoria ,Queen of Great Britain,184,185,199,None,None,"198,202,204,205","193,196,200,203,206",,,,,
192,Leopold of Saxe-Coburg,None,None,None,190,None,None,None,None,,,,,
193,Victoria ,Princess Royal ,199,191,194,"198,202,204,205","196,200,203,206",195,None,,,,,
194,Frederick III ,Emperor of Germany,None,None,193,None,None,195,None,,,,,
195,Wilhelm II,Emperor of Germany,194,193,None,None,None,None,None,,,,,
